Sample,X(ms) [01.05.2017 19:26:36 933 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
8,799.972360,5221,1052
9,899.982280,5224,978
10,999.970700,5221,1040
11,1099.975760,5255,1004
12,1199.990580,5239,1007
13,1299.970700,5225,1023
14,1399.967120,5237,1023
15,1499.981020,5256,1011
16,1599.984400,5222,1023
17,1699.973980,5221,1024
18,1799.971860,5221,1050
19,1899.997300,5225,1031
20,1999.967200,5222,1035
21,2099.975740,5242,1014
22,2199.975620,5222,1011
23,2299.968480,5234,1017
24,2399.971480,5256,1056
25,2499.982540,5222,1023
26,2599.992600,5243,1041
27,2699.979440,5242,1037
28,2799.973860,5241,1027
29,2899.975620,5225,1023
30,2999.971920,5234,1036
31,3099.970900,5221,1041
32,3200.015760,5241,1023
33,3300.024780,5230,1057
34,3399.982260,5255,1040
35,3499.967420,5254,1050
36,3600.028140,5255,1033
37,3699.969260,5253,1024
38,3799.979820,5222,1036
39,3899.984260,5243,1023
40,3999.998020,5256,1040
41,4099.973860,5249,1023
42,4199.969620,5249,1027
43,4299.968820,5221,998
44,4399.977340,5249,1040
45,4499.980180,5241,1023
46,4599.980520,5230,1049
47,4699.989580,5226,1053
48,4799.973380,5228,1004
49,4899.977280,5254,1048
50,4999.973220,5221,1035
51,5099.997360,5248,1031
52,5200.001160,5228,1038
53,5299.984240,5229,1023
54,5400.021720,5249,1015
55,5499.998000,5254,1001
56,5599.994000,5255,1030
57,5700.005120,5230,1021
58,5799.971300,5221,1050
59,5899.976360,5228,1025
60,5999.979280,5247,1036
61,6099.971200,5221,990
62,6199.975240,5221,1044
63,6300.032520,5221,1051
64,6399.976880,5221,1017
65,6499.975940,5221,996
66,6599.981500,5221,1029
67,6699.987400,5228,1035
68,6799.974700,5221,1023
69,6899.973740,5221,1025
70,6999.981640,5221,1027
71,7099.995520,5221,1021
72,7199.983440,5221,1017
73,7299.996600,5221,1023
74,7399.976240,5247,1027
75,7500.005520,5221,1023
76,7599.980860,5221,1006
77,7699.981220,5221,1020
78,7799.972060,5221,1029
79,7899.979140,5221,1046
80,8000.026200,5221,1039
81,8099.972980,5221,1017
82,8199.972500,5221,1025
83,8299.994060,5221,1030
84,8399.994000,5221,1031
85,8499.975500,5221,997
86,8599.963140,5221,997
87,8700.008140,5221,1050
88,8800.025640,5239,1023
89,8900.025800,5221,998
90,9000.023100,5221,1038
91,9099.985100,5221,1023
92,9199.974500,5221,1026
93,9299.995360,5221,997
94,9399.975700,5221,1025
95,9500.000640,5221,1029
96,9599.987920,5221,994
97,9699.978380,5221,1029
98,9799.967920,5247,992
99,9899.985140,5221,1057
100,9999.992800,5221,996
101,10099.980880,5221,1001
102,10199.994660,5221,1014
103,10299.977000,5221,1037
104,10399.971520,5221,1049
105,10499.997460,5221,1030
106,10600.016180,5221,1023
107,10699.992080,5221,1006
108,10799.968600,5221,1019
109,10899.978800,5221,1010
110,11000.002580,5221,1023
111,11099.978740,5221,1014
112,11199.987560,5221,1016
113,11299.971360,5221,1021
114,11399.992480,5221,1040
115,11499.969020,5221,1027
116,11599.979620,5221,1025
117,11699.976180,5221,1040
118,11799.970440,5221,989
119,11899.966180,5221,1055
120,12000.043900,5221,989
121,12099.979280,5221,1030
122,12200.006640,5221,1069
123,12299.977640,5221,1012
124,12399.974320,5221,1032
125,12499.993140,5221,1015
126,12599.972500,5221,1023
127,12700.001340,5221,1023
128,12799.972980,5221,1049
129,12900.000440,5223,1017
130,12999.985700,5221,1012
131,13099.978980,5221,1019
132,13199.971220,5221,996
133,13299.980100,5221,1023
134,13399.987900,5221,1004
135,13499.970340,5223,991
136,13599.972880,5221,1027
137,13699.970440,5221,1017
138,13799.994080,5221,1040
139,13900.007740,5221,1023
140,13999.969900,5221,989
141,14100.002160,5221,1023
142,14199.977640,5221,1020
143,14299.979180,5221,1049
144,14399.977260,5221,1023
145,14499.999340,5221,1064
146,14599.973920,5221,1006
147,14699.971220,5221,1058
148,14799.974660,5221,991
149,14900.048960,5221,1006
150,14999.969740,5221,1027
151,15099.977140,5221,1013
152,15199.975740,5221,1027
153,15300.109000,5221,1047
154,15399.976700,5221,1017
155,15499.969020,5221,1023
156,15599.975940,5221,992
157,15699.999380,5221,1022
