Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
2,0.000000,1945,1808
3,100.007360,1945,1808
4,200.004340,1945,1808
5,300.026500,1945,1809
6,400.010160,1945,1791
7,500.018520,1943,1808
8,600.014840,1951,1832
9,700.001640,1945,1808
10,799.996360,1945,1808
11,900.037700,1920,1808
12,999.997760,1945,1808
13,1100.000000,1945,1808
14,1199.994500,1945,1808
15,1300.006820,1945,1808
16,1400.055020,1947,1808
17,1500.005880,1945,1808
18,1600.072940,1945,1808
19,1700.004500,1945,1808
20,1799.995400,1945,1808
21,1900.008740,1945,1808
22,2000.010840,1945,1808
23,2100.013940,1945,1804
24,2199.993160,1945,1808
25,2300.001120,1945,1808
26,2399.995740,1945,1808
27,2499.999280,1945,1808
28,2599.998140,1945,1808
29,2700.002420,1945,1808
30,2800.013020,1943,1808
31,2900.004520,1919,1808
32,3000.013120,1945,1808
33,3100.006560,1945,1808
34,3200.061900,1945,1808
35,3299.999000,1945,1808
36,3400.001760,1945,1808
37,3500.033860,1945,1808
38,3600.064500,1945,1778
39,3700.018080,1939,1808
40,3800.009100,1945,1808
41,3900.001500,1945,1808
42,3999.996260,1939,1808
43,4100.014680,1945,1808
44,4199.990060,1945,1808
45,4299.997900,1945,1808
46,4400.020380,1945,1808
47,4500.004220,1945,1808
48,4600.002500,1945,1806
49,4699.990560,1947,1806
50,4800.003020,1945,1808
51,4900.106380,1945,1808
52,4999.995340,1945,1782
53,5100.005340,1943,1782
54,5199.995540,1945,1808
55,5300.001220,1945,1808
56,5399.994060,1945,1808
57,5500.004260,1945,1808
58,5600.034280,1945,1808
59,5700.032880,1945,1808
60,5800.002400,1945,1782
61,5900.000600,1919,1782
62,6000.024140,1945,1808
63,6100.007020,1945,1807
64,6200.020400,1919,1808
65,6299.997160,1945,1808
66,6400.030620,1945,1808
67,6499.996300,1945,1808
68,6600.017660,1945,1808
69,6699.993040,1945,1808
70,6800.048680,1945,1808
71,6900.025660,1945,1808
72,7000.001540,1945,1808
73,7099.993440,1945,1808
74,7200.062540,1945,1808
75,7299.994900,1945,1808
76,7400.025380,1970,1782
77,7499.993160,1945,1808
78,7600.003680,1945,1839
79,7700.005320,1945,1808
80,7800.003920,1945,1808
