Sample,X(ms),"I_distance_left"[%IW64],"I_distance_right"[%IW66]
2,0.000000,2354,1509
3,99.953640,2354,1527
4,199.959980,2354,1503
5,299.959480,2354,1518
6,399.993520,2354,1534
7,499.968080,2354,1533
8,599.979220,2354,1535
9,699.951220,2354,1535
10,799.961460,2354,1503
11,899.953720,2354,1509
12,999.967980,2354,1509
13,1099.982640,2354,1529
14,1200.001440,2354,1534
15,1299.955440,2354,1535
16,1399.955360,2354,1533
17,1499.950280,2354,1529
18,1600.034040,2354,1535
19,1699.963820,2354,1529
20,1799.977980,2354,1495
21,1900.008260,2354,1531
22,1999.971220,2354,1531
23,2099.956420,2354,1530
24,2199.969300,2354,1509
25,2299.970520,2354,1537
26,2400.015700,2354,1535
27,2499.958720,2354,1535
28,2599.956380,2354,1509
29,2699.955540,2354,1535
30,2799.961220,2354,1535
31,2899.967280,2354,1532
32,2999.972040,2354,1533
33,3099.961000,2354,1535
34,3199.983280,2354,1535
35,3299.965040,2354,1509
36,3399.981080,2354,1497
37,3499.956000,2354,1533
38,3599.989160,2354,1538
39,3699.951480,2354,1516
40,3799.963900,2354,1535
41,3899.976660,2354,1535
42,4000.005560,2354,1535
43,4099.980860,2354,1535
44,4199.958840,2354,1529
45,4299.988780,2354,1535
46,4399.981780,2354,1535
47,4499.967700,2354,1533
48,4600.027100,2354,1502
49,4699.954920,2354,1534
50,4799.980040,2354,1535
51,4899.956000,2354,1535
52,4999.959020,2354,1503
53,5099.989520,2354,1522
54,5199.963480,2354,1532
55,5299.971780,2354,1533
56,5399.967400,2354,1535
57,5499.973360,2354,1535
58,5599.959820,2354,1535
59,5699.965200,2354,1535
60,5799.978000,2354,1509
61,5899.957060,2354,1522
62,5999.966900,2354,1510
63,6099.957220,2354,1538
64,6199.963300,2354,1533
65,6299.963780,2354,1509
66,6399.995960,2354,1535
67,6499.968640,2354,1534
68,6599.959860,2354,1509
69,6699.963540,2354,1505
70,6800.002460,2354,1535
71,6899.956940,2354,1535
72,6999.954100,2354,1535
73,7099.954660,2354,1518
74,7199.986160,2354,1535
75,7299.948440,2354,1535
76,7399.966940,2354,1509
77,7499.955440,2354,1548
78,7599.977620,2354,1535
79,7699.954340,2354,1546
80,7800.006160,2354,1531
81,7899.965700,2354,1535
82,7999.953960,2354,1535
83,8099.960340,2354,1534
84,8199.954160,2354,1519
85,8299.965620,2354,1533
86,8399.976100,2354,1518
87,8499.985140,2354,1522
88,8599.959920,2354,1518
89,8699.951640,2354,1517
90,8799.960240,2354,1521
91,8899.958120,2354,1518
92,8999.961100,2354,1528
93,9099.957680,2354,1547
94,9199.966060,2354,1505
95,9299.977440,2354,1535
96,9399.967700,2354,1534
97,9499.960180,2354,1532
98,9599.957560,2354,1522
99,9699.955800,2354,1535
100,9799.964400,2354,1535
101,9899.950480,2354,1535
102,9999.955700,2354,1532
103,10099.981020,2354,1512
104,10199.967520,2354,1535
105,10299.979240,2354,1521
106,10399.961720,2354,1535
107,10500.013560,2354,1536
108,10599.981620,2354,1535
109,10699.992020,2354,1548
110,10799.980580,2354,1522
111,10899.963500,2354,1535
112,10999.978020,2354,1520
113,11099.952240,2354,1534
114,11199.960820,2354,1535
115,11299.955860,2354,1535
116,11399.992860,2354,1517
117,11499.953680,2354,1535
118,11599.959840,2354,1522
119,11699.967700,2354,1533
120,11799.956080,2354,1535
121,11899.952400,2354,1512
122,11999.964940,2354,1534
123,12099.986220,2354,1535
124,12199.968340,2354,1534
125,12299.958780,2354,1535
126,12399.982500,2354,1535
127,12500.007500,2354,1534
128,12599.965340,2354,1535
129,12699.956540,2354,1535
130,12799.962040,2354,1535
131,12899.971020,2354,1505
132,12999.963220,2354,1502
133,13099.973720,2354,1505
134,13199.951360,2354,1552
135,13299.985760,2354,1512
136,13399.947840,2354,1522
137,13499.955300,2354,1501
138,13599.959320,2354,1535
139,13699.968420,2354,1509
140,13799.964340,2354,1505
141,13899.970480,2354,1535
142,13999.951080,2354,1534
143,14100.031900,2354,1501
144,14199.982960,2354,1502
