Sample,X(ms) [01.05.2017 20:04:03 733 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
8,799.996420,976,8361
9,899.992440,986,8361
10,999.995960,957,8361
11,1099.990300,970,8361
12,1200.013820,988,8361
13,1300.022840,989,8361
14,1400.019260,989,8361
15,1500.006620,983,8361
16,1600.011220,987,8361
17,1700.040840,989,8361
18,1799.991100,968,8361
19,1900.015600,1026,8361
20,1999.997320,984,8361
21,2100.006760,985,8361
22,2199.991540,988,8361
23,2300.002560,1000,8361
24,2400.020820,955,8361
25,2499.994240,972,8361
26,2599.988100,976,8361
27,2699.996460,984,8361
28,2800.000440,946,8361
29,2900.019120,975,8361
30,2999.993280,938,8361
31,3099.998860,985,8361
32,3199.991520,965,8361
33,3299.996900,981,8361
34,3400.020120,987,8361
35,3499.999160,989,8361
36,3600.017540,972,8361
37,3699.993540,989,8361
38,3800.012860,956,8361
39,3899.997620,989,8361
40,4000.001700,1020,8361
41,4100.001100,978,8361
42,4200.001840,1006,8361
43,4300.063540,1018,8361
44,4399.999120,966,8361
45,4500.016720,1001,8361
46,4600.004640,982,8365
47,4699.995020,1020,8361
48,4799.993240,957,8361
49,4899.994920,997,8361
50,4999.996980,990,8361
51,5099.992860,985,8361
52,5200.016380,991,8361
53,5299.992760,997,8361
54,5399.989260,987,8361
55,5500.007400,966,8361
56,5600.043760,999,8361
57,5700.012360,973,8361
58,5799.992920,959,8361
59,5899.991480,983,8361
60,5999.989980,949,8361
61,6099.994560,958,8361
62,6200.010040,981,8361
63,6299.992800,989,8361
64,6400.013780,987,8361
65,6499.994200,989,8361
66,6599.990740,990,8361
67,6700.011340,982,8361
68,6800.045300,955,8361
69,6899.995640,980,8361
70,7000.024560,988,8361
71,7099.994540,963,8361
72,7200.000920,963,8361
73,7299.998960,979,8361
74,7399.989040,963,8361
75,7500.006260,983,8361
76,7600.024640,963,8361
77,7700.000080,989,8361
78,7799.997820,979,8361
79,7900.037660,989,8361
80,8000.048060,985,8361
81,8100.024800,985,8361
82,8200.037720,982,8361
83,8299.986820,987,8361
84,8400.056880,1014,8361
85,8499.989440,962,8361
86,8599.994100,963,8361
87,8700.005780,956,8361
88,8799.994640,980,8361
89,8900.024980,969,8361
90,8999.994760,991,8361
91,9100.011740,989,8361
92,9200.009400,974,8361
93,9300.013500,989,8361
94,9400.016340,985,8361
95,9500.040300,974,8361
96,9600.030260,969,8361
97,9699.995240,989,8361
98,9800.006540,956,8361
99,9899.997640,963,8361
100,10000.028100,972,8361
101,10100.006380,979,8361
102,10199.992620,957,8361
103,10300.010620,984,8361
104,10400.001720,1015,8361
105,10500.012500,957,8361
106,10599.988380,981,8361
107,10700.004780,971,8361
108,10800.017240,955,8361
109,10900.002120,961,8361
110,11000.007320,985,8361
111,11099.997040,983,8361
112,11200.003080,975,8361
113,11299.998100,989,8361
114,11399.997140,957,8361
115,11500.020780,982,8361
116,11599.992420,986,8361
117,11700.023520,964,8361
118,11799.988660,981,8361
119,11900.027060,999,8361
120,11999.993060,964,8361
121,12100.035420,989,8361
122,12199.986020,982,8361
123,12300.035540,987,8361
124,12400.014880,963,8361
125,12499.998640,989,8361
126,12599.990280,970,8361
127,12699.993520,976,8361
128,12799.998500,963,8361
129,12899.997160,990,8361
130,12999.987040,993,8361
131,13100.004420,947,8361
132,13199.989720,987,8361
133,13299.997980,998,8361
134,13399.991820,976,8361
135,13499.996960,1019,8361
136,13600.013200,978,8361
137,13699.985200,988,8361
138,13799.995360,988,8361
139,13899.991980,987,8361
140,14000.006920,978,8361
141,14100.019060,977,8361
142,14199.993000,993,8361
143,14300.001160,991,8361
144,14399.987220,985,8361
145,14499.996080,939,8361
146,14600.014920,969,8361
147,14700.029480,986,8361
148,14800.010900,1006,8361
149,14899.988900,985,8361
150,14999.992060,1006,8361
151,15100.003280,1006,8361
152,15199.991980,959,8361
153,15300.025680,1001,8361
154,15399.991300,953,8361
155,15500.029480,980,8361
156,15599.987480,958,8361
157,15699.986880,989,8361
158,15799.996900,975,8361
159,15899.986260,940,8361
160,15999.989180,988,8361
161,16100.015660,968,8361
162,16200.008520,971,8361
163,16299.993060,985,8361
164,16399.981140,988,8361
165,16500.026480,976,8361
