time,distance_left,distance_right
0.75635062,707,439
0.75802052,707,439
0.75916508,707,439
0.76101352,707,439
0.76280304,707,439
0.76391368,677,492
0.76575294,677,492
0.76685634,677,492
0.76877374,677,492
0.77061792,677,492
0.77174354,677,492
0.7736108,680,519
0.77471812,680,519
0.77650066,680,519
0.77837368,680,519
0.77954126,680,519
0.78138734,680,519
0.78250956,680,519
0.78417506,715,550
0.7854254,715,550
0.78718214,715,550
0.78911108,715,550
0.79036356,715,550
0.79205572,715,550
0.79316522,732,548
0.79502454,732,548
0.79685808,732,548
0.79795386,732,548
0.79982456,732,548
0.80091516,732,548
0.80302604,741,512
0.80484118,741,512
0.80603006,741,512
0.80788254,741,512
0.80968434,741,512
0.81084502,741,512
0.81270156,741,512
0.81380996,746,495
0.81562968,746,495
0.81672818,746,495
0.8185723,746,495
0.820408,746,495
0.82151194,746,495
0.82314692,746,495
0.825098,731,469
0.82640664,731,469
0.82804716,731,469
0.82935008,731,469
0.83098616,731,469
0.83207678,731,469
0.83393052,638,388
0.83577058,638,388
0.8369518,638,388
0.8387899,638,388
0.8398711,638,388
0.84167062,638,388
0.84357264,507,347
0.84479882,507,347
0.84666864,507,347
0.84776328,507,347
0.84964854,507,347
0.8515013,507,347
0.85264416,507,347
0.85439044,475,378
0.85550038,475,378
0.85744706,475,378
0.85935016,475,378
0.86051846,475,378
0.8621095,475,378
0.86335088,544,428
0.86502244,544,428
0.86678792,544,428
0.86798228,544,428
0.86991374,544,428
0.8710014,544,428
0.87281342,630,469
0.87407192,630,469
0.87537362,630,469
0.87657846,630,469
0.87772334,630,469
0.87888794,630,469
0.88006912,630,469
0.8813738,630,469
0.88259902,630,469
0.88375626,690,490
0.88492856,690,490
0.88607372,690,490
0.88764502,690,490
0.8888815,690,490
0.8901692,690,490
0.89149878,690,490
0.89269246,720,484
0.8938397,720,484
0.89505828,720,484
0.8963511,720,484
0.89755336,720,484
0.89873958,720,484
0.89991596,720,484
0.90106708,720,484
0.90275818,735,480
0.90390364,735,480
0.90507404,735,480
0.90637698,735,480
0.90778634,735,480
0.90900008,735,480
0.91017312,735,480
0.91149512,735,480
0.91270678,743,479
0.91384112,743,479
0.91499358,743,479
0.9161768,743,479
0.91748566,743,479
0.91870954,743,479
0.91984966,743,479
0.92100936,743,479
0.92215792,743,479
0.92351072,678,427
0.9246753,678,427
0.92585316,678,427
0.92701882,678,427
0.92837554,678,427
0.92955866,678,427
0.93103096,678,427
0.93235016,678,427
0.93355558,544,350
0.9347126,544,350
0.93589262,544,350
0.93703496,544,350
0.93839638,544,350
0.93959516,544,350
0.9407799,544,350
0.94193486,544,350
0.94309308,493,362
0.94442096,493,362
0.94559342,493,362
0.94757278,493,362
0.94950934,493,362
0.95063912,493,362
0.9523845,493,362
0.95350534,588,420
0.95536016,588,420
0.95705092,588,420
0.95815172,588,420
0.959963,588,420
0.96110246,588,420
0.96293694,669,465
0.96471168,669,465
0.9658347,669,465
0.96768586,669,465
0.96883222,669,465
0.97063498,669,465
0.97243632,669,465
0.97369082,709,506
0.97552898,709,506
0.97665912,709,506
0.97850774,709,506
0.98009302,709,506
0.98166676,709,506
0.98346054,730,526
0.98458924,730,526
0.98635494,730,526
0.98803906,730,526
0.98917836,730,526
0.99096276,730,526
0.99209444,730,526
0.99395478,740,518
0.99502662,740,518
0.9968229,740,518
0.998738,740,518
0.99991992,740,518
1.00207848,740,518
1.00387154,813,498
1.00502814,813,498
1.00635536,813,498
1.00753554,813,498
1.00876134,813,498
1.00990748,813,498
1.0110745,813,498
1.01239052,813,498
1.01360274,970,453
1.01476734,970,453
1.0159337,970,453
1.01709048,970,453
1.01842962,970,453
1.01961686,970,453
1.02077526,970,453
1.02196372,970,453
1.02313726,1065,363
1.02449166,1065,363
1.02567114,1065,363
1.02685174,1065,363
1.0280058,1065,363
1.02969326,1065,363
1.03085722,1065,363
1.03203708,1065,363
1.03335016,1010,335
1.03454234,1010,335
1.03570354,1010,335
1.0368689,1010,335
1.0380235,1010,335
1.0393815,1010,335
1.0405681,1010,335
1.04175066,1010,335
1.04294184,931,389
1.0441207,931,389
1.04543182,931,389
1.04662078,931,389
1.04775718,931,389
1.04893258,931,389
1.05010784,931,389
1.05142162,931,389
1.0526442,931,389
1.05379242,875,450
1.05497448,875,450
1.05612668,875,450
1.05866244,875,450
1.06057284,875,450
1.0616958,875,450
1.06349352,830,498
1.06460132,830,498
1.06645756,830,498
1.06815812,830,498
1.06948412,830,498
1.07109534,830,498
1.07234912,830,498
1.07410834,807,539
1.07599794,807,539
1.07709574,807,539
1.07895274,807,539
1.08004534,807,539
1.08189176,807,539
1.08367238,778,577
1.08477042,778,577
1.08661384,778,577
1.08774114,778,577
1.0895764,778,577
1.0914498,778,577
1.09262544,778,577
1.09447056,764,561
1.09560916,764,561
1.09752034,764,561
1.09945106,764,561
1.10059872,764,561
1.10282532,764,561
1.10472798,672,468
1.10583806,672,468
1.10764506,672,468
1.1094731,672,468
1.11067204,672,468
1.11251698,672,468
1.11365324,524,422
1.11543916,524,422
1.11713144,524,422
1.1184603,524,422
1.1201066,524,422
1.12136924,524,422
1.12305064,524,422
1.12415828,500,432
1.12599438,500,432
1.12776342,500,432
1.12891622,500,432
1.13080144,500,432
1.13197056,500,432
1.13380094,557,472
1.1355666,557,472
1.13669848,557,472
1.13860584,557,472
1.13972976,557,472
1.14152916,557,472
1.14340376,557,472
1.1445639,620,509
1.14638436,620,509
1.14749662,620,509
1.14915184,620,509
1.15096704,620,509
1.15210072,620,509
1.15390238,685,527
1.15500082,685,527
1.15686472,685,527
1.1580405,685,527
1.15987746,685,527
1.16170804,685,527
1.16281968,734,537
1.1646558,734,537
1.1657613,734,537
1.16758112,734,537
1.16959724,734,537
1.17076692,734,537
1.17257022,734,537
1.17440334,759,541
