Sample,X(ms) [02.05.2017 17:12:35 328 UTC],"I_distance_left"[%IW64],"I_distance_right"[%IW66]
534,756.350620,707,439
535,758.020520,707,439
536,759.165080,707,439
537,761.013520,707,439
538,762.803040,707,439
539,763.913680,677,492
540,765.752940,677,492
541,766.856340,677,492
542,768.773740,677,492
543,770.617920,677,492
544,771.743540,677,492
545,773.610800,680,519
546,774.718120,680,519
547,776.500660,680,519
548,778.373680,680,519
549,779.541260,680,519
550,781.387340,680,519
551,782.509560,680,519
552,784.175060,715,550
553,785.425400,715,550
554,787.182140,715,550
555,789.111080,715,550
556,790.363560,715,550
557,792.055720,715,550
558,793.165220,732,548
559,795.024540,732,548
560,796.858080,732,548
561,797.953860,732,548
562,799.824560,732,548
563,800.915160,732,548
564,803.026040,741,512
565,804.841180,741,512
566,806.030060,741,512
567,807.882540,741,512
568,809.684340,741,512
569,810.845020,741,512
570,812.701560,741,512
571,813.809960,746,495
572,815.629680,746,495
573,816.728180,746,495
574,818.572300,746,495
575,820.408000,746,495
576,821.511940,746,495
577,823.146920,746,495
578,825.098000,731,469
579,826.406640,731,469
580,828.047160,731,469
581,829.350080,731,469
582,830.986160,731,469
583,832.076780,731,469
584,833.930520,638,388
585,835.770580,638,388
586,836.951800,638,388
587,838.789900,638,388
588,839.871100,638,388
589,841.670620,638,388
590,843.572640,507,347
591,844.798820,507,347
592,846.668640,507,347
593,847.763280,507,347
594,849.648540,507,347
595,851.501300,507,347
596,852.644160,507,347
597,854.390440,475,378
598,855.500380,475,378
599,857.447060,475,378
600,859.350160,475,378
601,860.518460,475,378
602,862.109500,475,378
603,863.350880,544,428
604,865.022440,544,428
605,866.787920,544,428
606,867.982280,544,428
607,869.913740,544,428
608,871.001400,544,428
609,872.813420,630,469
610,874.071920,630,469
611,875.373620,630,469
612,876.578460,630,469
613,877.723340,630,469
614,878.887940,630,469
615,880.069120,630,469
616,881.373800,630,469
617,882.599020,630,469
618,883.756260,690,490
619,884.928560,690,490
620,886.073720,690,490
621,887.645020,690,490
622,888.881500,690,490
623,890.169200,690,490
624,891.498780,690,490
625,892.692460,720,484
626,893.839700,720,484
627,895.058280,720,484
628,896.351100,720,484
629,897.553360,720,484
630,898.739580,720,484
631,899.915960,720,484
632,901.067080,720,484
633,902.758180,735,480
634,903.903640,735,480
635,905.074040,735,480
636,906.376980,735,480
637,907.786340,735,480
638,909.000080,735,480
639,910.173120,735,480
640,911.495120,735,480
641,912.706780,743,479
642,913.841120,743,479
643,914.993580,743,479
644,916.176800,743,479
645,917.485660,743,479
646,918.709540,743,479
647,919.849660,743,479
648,921.009360,743,479
649,922.157920,743,479
650,923.510720,678,427
651,924.675300,678,427
652,925.853160,678,427
653,927.018820,678,427
654,928.375540,678,427
655,929.558660,678,427
656,931.030960,678,427
657,932.350160,678,427
658,933.555580,544,350
659,934.712600,544,350
660,935.892620,544,350
661,937.034960,544,350
662,938.396380,544,350
663,939.595160,544,350
664,940.779900,544,350
665,941.934860,544,350
666,943.093080,493,362
667,944.420960,493,362
668,945.593420,493,362
669,947.572780,493,362
670,949.509340,493,362
671,950.639120,493,362
672,952.384500,493,362
673,953.505340,588,420
674,955.360160,588,420
675,957.050920,588,420
676,958.151720,588,420
677,959.963000,588,420
678,961.102460,588,420
679,962.936940,669,465
680,964.711680,669,465
681,965.834700,669,465
682,967.685860,669,465
683,968.832220,669,465
684,970.634980,669,465
685,972.436320,669,465
686,973.690820,709,506
687,975.528980,709,506
688,976.659120,709,506
689,978.507740,709,506
690,980.093020,709,506
691,981.666760,709,506
692,983.460540,730,526
693,984.589240,730,526
694,986.354940,730,526
695,988.039060,730,526
696,989.178360,730,526
697,990.962760,730,526
698,992.094440,730,526
699,993.954780,740,518
700,995.026620,740,518
701,996.822900,740,518
702,998.738000,740,518
703,999.919920,740,518
704,1002.078480,740,518
705,1003.871540,813,498
706,1005.028140,813,498
707,1006.355360,813,498
708,1007.535540,813,498
709,1008.761340,813,498
710,1009.907480,813,498
711,1011.074500,813,498
