Sample,X(ms) [16.06.2017 16:26:20 534 UTC],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0],"M_crank_angle"[%MD72],"M_crank_angular_velocity"[%MD80]
452,663.667260,7,1,2.2619469165802,0
453,665.609600,7,1,2.2619469165802,0
454,667.466820,7,1,2.2619469165802,0
455,668.633940,7,1,2.2619469165802,0
456,670.498620,7,1,2.2619469165802,0
457,672.295980,7,1,2.2619469165802,0
458,673.442120,7,1,2.2619469165802,0
459,675.313940,7,1,2.2619469165802,0
460,676.434680,7,1,2.2619469165802,0
461,678.361660,7,1,2.2619469165802,0
462,680.242740,7,1,2.2619469165802,0
463,681.457220,7,1,2.2619469165802,0
464,683.346080,7,1,2.2619469165802,0
465,684.483220,7,1,2.2619469165802,0
466,686.301520,7,1,2.2619469165802,0
467,688.228320,7,1,2.2619469165802,0
468,689.385520,7,1,2.2619469165802,0
469,691.304460,7,1,2.2619469165802,0
470,693.427160,7,1,2.2619469165802,0
471,694.570180,7,1,2.2619469165802,0
472,696.432500,7,1,2.2619469165802,0
473,698.257740,7,1,2.2619469165802,0
474,699.398700,7,1,2.2619469165802,0
475,701.356700,7,1,2.2619469165802,0
476,702.573860,7,1,2.2619469165802,0
477,704.407520,7,1,2.2619469165802,0
478,706.202380,7,1,2.2619469165802,0
479,707.327660,7,1,2.2619469165802,0
480,709.289700,7,1,2.2619469165802,0
481,711.174140,7,1,2.2619469165802,0
482,712.335680,7,1,2.2619469165802,0
483,714.256020,7,1,2.2619469165802,0
484,715.386980,7,1,2.2619469165802,0
485,717.255400,7,1,2.2619469165802,0
486,719.099000,7,1,2.2619469165802,0
487,720.263060,7,1,2.2619469165802,0
488,722.192060,7,1,2.2619469165802,0
489,723.409140,7,1,2.2619469165802,0
490,725.305340,7,1,2.2619469165802,0
491,727.253280,7,1,2.2619469165802,0
492,728.442100,7,1,2.2619469165802,0
493,730.195240,7,1,2.2619469165802,0
494,731.417400,7,1,2.2619469165802,0
495,732.610100,7,1,2.2619469165802,0
496,734.228460,7,1,2.2619469165802,0
497,735.438120,7,1,2.2619469165802,0
498,736.660440,7,1,2.2619469165802,0
499,738.050440,7,1,2.2619469165802,0
500,739.285620,7,1,2.2619469165802,0
501,740.472480,7,1,2.2619469165802,0
502,741.684500,7,1,2.2619469165802,0
503,743.148180,7,1,2.2619469165802,0
504,744.372980,7,1,2.2619469165802,0
505,745.559340,7,1,2.2619469165802,0
506,746.923960,7,1,2.2619469165802,0
507,748.157540,7,1,2.2619469165802,0
508,749.361020,7,1,2.2619469165802,0
509,750.555280,7,1,2.2619469165802,0
510,751.909780,7,1,2.2619469165802,0
511,753.131440,7,1,2.2619469165802,0
512,754.340120,7,1,2.2619469165802,0
513,755.632700,7,1,2.2619469165802,0
514,756.995180,7,1,2.2619469165802,0
515,758.250260,7,1,2.2619469165802,0
516,759.424100,7,1,2.2619469165802,0
517,760.655140,7,1,2.2619469165802,0
518,762.005300,7,1,2.2619469165802,0
519,763.247980,7,1,2.2619469165802,0
520,764.422600,7,1,2.2619469165802,0
521,765.624360,7,1,2.2619469165802,0
522,766.971680,7,1,2.2619469165802,0
523,768.240160,7,1,2.2619469165802,0
524,769.428720,7,1,2.2619469165802,0
525,770.638600,7,1,2.2619469165802,0
526,771.972440,7,1,2.2619469165802,0
527,773.216700,7,1,2.2619469165802,0
528,774.396860,7,1,2.2619469165802,0
529,775.602000,7,1,2.2619469165802,0
530,776.933700,7,1,2.2619469165802,0
531,778.190920,7,1,2.2619469165802,0
532,779.384740,7,1,2.2619469165802,0
533,780.606480,7,1,2.2619469165802,0
534,781.928280,7,1,2.2619469165802,0
535,783.163920,7,1,2.2619469165802,0
536,784.355220,7,1,2.2619469165802,0
537,785.579900,7,1,2.2619469165802,0
538,786.924900,7,1,2.2619469165802,0
539,788.183340,7,1,2.2619469165802,0
540,789.374060,7,1,2.2619469165802,0
541,790.581280,7,1,2.2619469165802,0
542,792.153660,7,1,2.2619469165802,0
543,793.389120,7,1,2.2619469165802,0
544,794.595080,7,1,2.2619469165802,0
545,795.945820,7,1,2.2619469165802,0
546,797.150440,7,1,2.2619469165802,0
547,798.405400,7,1,2.2619469165802,0
548,799.596020,7,1,2.2619469165802,0
549,800.968500,7,1,2.2619469165802,0
550,802.170660,7,1,2.2619469165802,0
