Sample,X(ms) [18.06.2017 17:26:23 699 UTC],"M_beam_angle"[%MD24],"M_beam_angular_velocity"[%MD48],"M_beam_PWM_output"[%MW22]
80,680.013440,0.172971397638321,0,-7
81,688.635540,0.172971397638321,0,-7
82,696.995440,0.172971397638321,0,-7
83,706.473900,0.172971397638321,0,-7
84,714.941220,0.172971397638321,0,-7
85,724.636720,0.172971397638321,0,-7
86,733.240920,0.172971397638321,0,-7
87,742.597240,0.172971397638321,0,-7
88,750.998600,0.172971397638321,0,-7
89,759.676380,0.172971397638321,0,-7
90,768.532560,0.172971397638321,0,-7
91,775.724680,0.172971397638321,0,-7
92,782.613620,0.172971397638321,0,-7
93,789.483460,0.172971397638321,0,-7
94,796.420580,0.172971397638321,0,-7
95,803.663300,0.172971397638321,0,-7
96,810.549480,0.172971397638321,0,-7
97,817.436440,0.172971397638321,0,-7
98,824.639340,0.172971397638321,0,-7
99,831.498880,0.172971397638321,0,-7
100,838.756860,0.172971397638321,0,-7
101,845.868900,0.172971397638321,0,-7
102,853.999620,0.172971397638321,0,-7
103,862.589040,0.172971397638321,0,-7
104,872.044060,0.172971397638321,0,-7
105,880.684020,0.172971397638321,0,-7
106,889.775120,0.172971397638321,0,-7
107,897.826000,0.172971397638321,0,-7
108,905.228240,0.172971397638321,0,-7
109,911.926500,0.172971397638321,0,-7
110,918.852520,0.172971397638321,0,-7
111,926.008700,0.172971397638321,0,-7
112,932.936520,0.172971397638321,0,-7
113,940.426000,0.172971397638321,0,-7
114,947.339040,0.172971397638321,0,-7
115,954.257960,0.172971397638321,0,-7
116,960.986480,0.172971397638321,0,-7
117,967.877820,0.172971397638321,0,-7
118,975.058820,0.172971397638321,0,-7
119,981.963100,0.172971397638321,0,-7
120,988.851100,0.172971397638321,0,-7
121,995.754780,0.172971397638321,0,-7
122,1002.947080,0.172971397638321,0,-7
123,1010.989340,0.172971397638321,0,-7
124,1019.613060,0.172971397638321,0,-7
125,1029.255820,0.172971397638321,0,-7
126,1037.743260,0.172971397638321,0,-7
127,1046.906780,0.172971397638321,0,-7
128,1055.681240,0.172971397638321,0,-7
129,1062.738680,0.172971397638321,0,-7
130,1070.391820,0.172971397638321,0,-7
131,1079.044960,0.172971397638321,0,-7
132,1088.431640,0.172971397638321,0,-7
133,1096.864780,0.172971397638321,0,-7
134,1105.390520,0.172971397638321,0,-7
135,1114.816000,0.172971397638321,0,-7
136,1123.580180,0.172971397638321,0,-7
137,1132.908280,0.172971397638321,0,-7
138,1141.560440,0.172971397638321,0,-7
139,1150.749480,0.172971397638321,0,-7
140,1159.386020,0.172971397638321,0,-7
141,1168.778260,0.172971397638321,0,-7
142,1177.665780,0.172971397638321,0,-7
143,1184.644060,0.172971397638321,0,-7
144,1191.524560,0.172971397638321,0,-7
145,1200.284340,0.172971397638321,0,-7
146,1208.831520,0.172971397638321,0,-7
