voltage,angular_velocity
-11.95,-59.1747823797
-10.755,-53.5556835151
-9.56,-47.7764908354
-8.365,-41.4676492
-7.17,-35.4980443085
-5.975,-29.321762139
-4.78,-23.4432023973
-3.585,-17.3397328183
-2.39,-11.2885697
-1.7925,-7.6263495
-1.195,-5.2389469
-0.5975,-1.4984893
0,0
0.5975,1.5175142842
1.195,5.2958385151
1.7925,7.6516988362
2.39,11.2804252886
3.585,17.3147742373
4.78,23.3701426292
5.975,29.4408026601
7.17,35.4943644178
8.365,41.5480352978
9.56,47.7366740427
10.755,53.8652645807
11.95,59.1984746765
