Sample,X(ms) [19.05.2017 19:42:24 517 UTC],"I_encoder"[%ID1000],"M_beam_PID_manual_control"[%M4.3]
606,739.127300,0,0
607,740.757880,0,0
608,741.742100,0,0
609,743.506460,0,0
610,745.238840,0,0
611,746.293840,0,0
612,748.029640,0,0
613,749.029720,0,0
614,750.486200,0,0
615,751.502760,0,0
616,753.128700,0,0
617,754.193920,0,0
618,755.759660,0,0
619,757.052580,0,0
620,758.679960,0,0
621,759.666700,0,0
622,761.362780,0,0
623,762.351720,0,0
624,764.079940,0,0
625,765.077040,0,0
626,766.592980,0,0
627,767.597440,0,0
628,769.379780,0,0
629,770.440020,0,0
630,772.127320,0,0
631,773.110780,0,0
632,774.697620,0,0
633,775.657920,0,0
634,777.459260,0,0
635,779.147100,0,0
636,780.173560,0,0
637,781.724080,0,0
638,782.744620,0,0
639,784.400300,0,0
640,785.402540,0,0
641,787.190100,0,0
642,788.310620,0,0
643,789.824980,0,0
644,790.801100,0,0
645,792.470780,0,0
646,793.452980,0,0
647,795.213660,0,0
648,796.234660,0,0
649,797.727620,0,0
650,798.718740,0,0
651,800.502840,0,0
652,801.566700,0,0
653,803.327480,0,0
654,804.353360,0,0
655,806.039600,0,0
656,806.996220,0,0
657,808.572500,0,0
658,809.539640,0,0
659,811.566760,0,0
660,813.342220,0,0
661,814.447720,0,0
662,816.133460,0,0
663,817.114580,0,0
664,818.636280,0,0
665,819.627420,0,0
666,821.336720,0,0
667,822.328820,0,0
668,823.841720,0,0
669,824.824420,0,0
670,826.551860,0,0
671,827.535000,0,0
672,829.219780,0,0
673,830.216120,0,0
674,831.818640,0,0
675,833.602020,0,0
676,834.649700,0,0
677,836.299500,0,0
678,837.316380,0,0
679,839.040820,0,0
680,840.134000,0,0
681,841.698240,0,0
682,842.704240,0,0
683,844.446440,0,0
684,845.435800,0,0
685,847.154880,0,0
686,848.176840,0,0
687,849.699740,0,0
688,850.767740,0,0
689,852.511960,0,0
690,853.493740,0,0
691,855.245400,0,0
692,856.274640,0,0
693,857.472060,0,0
694,858.489260,0,0
695,859.548980,0,0
696,860.587540,0,0
697,861.654340,0,0
698,862.684120,0,0
699,863.705660,0,0
700,864.792200,0,0
701,865.835600,0,0
702,867.039260,0,0
703,868.088220,0,0
704,869.126520,0,0
705,870.223320,0,0
706,871.267620,0,0
707,872.343080,0,0
708,873.371740,0,0
709,874.464460,0,0
710,875.509720,0,0
711,876.544140,0,0
712,877.607100,0,0
713,878.638700,0,0
714,879.690640,0,0
715,880.721240,0,0
716,881.740400,0,0
717,882.793240,0,0
718,883.811340,0,0
719,885.037100,0,0
720,886.109460,0,0
721,887.146000,0,0
722,888.233740,0,0
723,889.277420,0,0
724,890.342420,0,0
725,891.379880,0,0
726,892.482100,0,0
727,893.521840,0,0
728,894.582520,0,0
729,895.640140,0,0
730,896.679000,0,0
731,897.729780,0,0
732,898.766480,0,0
733,899.779920,0,0
734,900.822820,0,0
735,901.843780,0,0
736,903.052220,0,0
737,904.124300,0,0
738,905.168580,0,0
739,906.262040,0,0
740,907.300720,0,0
741,908.351220,0,0
742,909.390780,0,0
743,910.749760,0,0
744,911.793100,0,0
745,912.818720,0,0
746,914.057720,0,0
747,915.090520,0,0
748,916.177760,0,0
749,917.241540,0,0
750,918.323040,0,0
751,919.363780,0,0
752,920.403040,0,0
753,921.468960,0,0
754,922.503380,0,0
755,923.569900,0,0
756,924.626840,0,0
757,925.665680,0,0
758,926.730020,0,0
759,929.101380,0,0
760,930.136060,0,0
761,931.671140,0,0
762,932.695360,0,0
763,934.377840,0,0
764,935.371960,0,0
765,937.142540,0,0
766,938.147660,0,0
767,939.679080,0,0
768,940.683180,0,0
769,942.368440,0,0
770,943.367560,0,0
771,945.107140,0,0
772,946.101780,0,0
773,947.625020,0,0
774,948.647520,0,0
775,950.429440,0,0
776,951.403620,0,0
777,953.107600,0,0
778,954.135300,0,0
779,955.683000,0,0
780,956.646620,0,0
781,958.417100,0,0
782,959.399520,0,0
783,961.154240,0,0
784,962.706600,0,0
785,963.722260,0,0
786,964.703860,0,0
787,966.386560,0,0
788,968.072320,0,0
789,969.092940,0,0
790,970.592520,0,0
791,971.590640,0,0
792,973.206080,0,0
793,974.288880,0,0
794,976.091220,0,0
795,977.160040,0,0
796,978.694100,0,0
797,979.681820,0,0
798,981.414220,0,0
799,982.446440,0,0
800,984.210560,0,0
801,985.237040,0,0
802,986.749080,0,0
803,987.731480,0,0
804,989.457580,0,0
805,990.429780,0,0
806,992.097560,0,0
807,993.084900,0,0
808,994.685500,0,0
809,995.671700,0,0
810,997.402260,0,0
811,998.361780,0,0
812,1000.009840,0,0
813,1000.837440,0,0
814,1002.576120,0,0
815,1003.547760,0,0
816,1005.348200,0,0
817,1006.348060,0,0
818,1008.016000,0,0
819,1008.814780,0,0
820,1011.130780,0,0
821,1012.720500,0,0
822,1013.724240,0,0
823,1015.494780,0,0
824,1016.487680,0,0
825,1018.150320,0,0
826,1019.134720,0,0
827,1020.652340,0,0
828,1021.624500,0,0
829,1023.333060,0,0
830,1024.346400,0,0
831,1025.844800,0,0
832,1026.835880,0,0
833,1028.588280,0,0
834,1029.552300,0,0
835,1031.373160,0,0
836,1032.361560,0,0
837,1034.074480,0,0
838,1035.225000,0,0
839,1036.282780,0,0
840,1037.323720,0,0
841,1038.380480,0,0
842,1039.411200,0,0
843,1040.464780,0,0
844,1041.493980,0,0
845,1042.529620,0,0
846,1043.601240,0,0
847,1044.664680,0,0
848,1045.729500,0,0
849,1046.757380,0,0
850,1047.784800,0,0
851,1049.000820,0,0
852,1050.019040,0,0
853,1051.080760,0,0
854,1052.118580,0,0
855,1053.185180,0,0
856,1054.525720,0,0
857,1055.606140,0,0
858,1056.798720,0,0
859,1057.842780,0,0
860,1059.050260,0,0
861,1060.096860,0,0
862,1061.170760,0,0
863,1062.244220,0,0
864,1063.297700,0,0
865,1064.406460,0,0
866,1065.440140,0,0
867,1066.498440,0,0
868,1067.542360,0,0
869,1068.592220,0,0
870,1069.631540,0,0
871,1070.658840,0,0
872,1071.714320,0,0
873,1072.745220,0,0
874,1073.781760,0,0
875,1074.844940,0,0
