Sample,X(ms) [23.05.2017 17:24:33 881 UTC],"I_encoder"[%ID1000],"M_beam_PID_manual_control"[%M4.3]
525,634.459140,0,0
526,635.987800,0,0
527,636.977620,0,0
528,638.623260,0,0
529,639.600240,0,0
530,641.312220,0,0
531,642.297120,0,0
532,643.786280,0,0
533,644.805540,0,0
534,646.911580,0,0
535,647.970660,0,0
536,649.645380,0,0
537,651.285140,0,0
538,652.290280,0,0
539,653.084920,0,0
540,654.846460,0,0
541,655.795540,0,0
542,657.490280,0,0
543,659.054780,0,0
544,660.055580,0,0
545,661.673560,0,0
546,662.665940,0,0
547,664.294360,0,0
548,665.317380,0,0
549,666.833940,0,0
550,667.893320,0,0
551,669.630460,0,0
552,670.620220,0,0
553,672.372840,0,0
554,673.357700,0,0
555,674.921640,0,0
556,675.968080,0,0
557,677.702280,0,0
558,678.683800,0,0
559,680.377160,0,0
560,681.369880,0,0
561,682.844360,0,0
562,683.834300,0,0
563,685.618340,0,0
564,686.643840,0,0
565,688.345540,0,0
566,689.402840,0,0
567,690.889780,0,0
568,691.847640,0,0
569,693.575220,0,0
570,694.579380,0,0
571,696.082320,0,0
572,697.033660,0,0
573,698.810380,0,0
574,699.857880,0,0
575,701.535680,0,0
576,702.510780,0,0
577,704.058260,0,0
578,705.057320,0,0
579,706.777000,0,0
580,707.722720,0,0
581,709.407280,0,0
582,710.371940,0,0
583,711.992700,0,0
584,713.686280,0,0
585,714.726820,0,0
586,716.363720,0,0
587,717.353880,0,0
588,718.373660,0,0
589,719.401280,0,0
590,720.457000,0,0
591,721.522880,0,0
592,722.562540,0,0
593,723.620100,0,0
594,724.679580,0,0
595,725.699900,0,0
596,726.754580,0,0
597,727.779220,0,0
598,728.837700,0,0
599,729.865840,0,0
600,730.887480,0,0
601,731.949000,0,0
602,732.968140,0,0
603,734.002400,0,0
604,735.063120,0,0
605,736.435560,0,0
606,737.498820,0,0
607,738.534320,0,0
608,739.588360,0,0
609,740.627140,0,0
610,741.676580,0,0
611,742.718820,0,0
612,743.733000,0,0
613,744.819280,0,0
614,745.836820,0,0
615,747.464960,0,0
616,748.529820,0,0
617,749.584580,0,0
618,750.611760,0,0
619,751.662320,0,0
620,752.703700,0,0
621,753.713040,0,0
622,754.794420,0,0
623,755.811340,0,0
624,756.860720,0,0
625,757.901060,0,0
626,758.922020,0,0
627,759.975400,0,0
628,761.000180,0,0
629,762.055020,0,0
630,763.233500,0,0
631,764.279440,0,0
632,765.349560,0,0
633,766.384640,0,0
634,767.462760,0,0
635,768.551680,0,0
636,769.572520,0,0
637,770.626080,0,0
638,771.656500,0,0
639,772.702080,0,0
640,773.738320,0,0
641,774.834820,0,0
642,775.876440,0,0
643,776.898560,0,0
644,777.937040,0,0
645,778.959840,0,0
646,780.019700,0,0
647,781.053100,0,0
648,782.083500,0,0
649,783.279580,0,0
650,784.550320,0,0
651,785.660300,0,0
652,786.801760,0,0
653,787.870200,0,0
654,788.916780,0,0
655,789.940720,0,0
656,791.005460,0,0
657,792.030860,0,0
658,793.079600,0,0
659,794.289780,0,0
660,795.320020,0,0
661,796.390580,0,0
662,797.438440,0,0
663,798.501620,0,0
664,799.532680,0,0
665,800.586460,0,0
666,801.628660,0,0
667,802.656380,0,0
