timestamp [s],angle [rad],control [V]
0.63445914,0,0
0.6359878,0,0
0.63697762,0,0
0.63862326,0,0
0.63960024,0,0
0.64131222,0,0
0.64229712,0,0
0.64378628,0,0
0.64480554,0,0
0.64691158,0,0
0.64797066,0,0
0.64964538,0,0
0.65128514,0,0
0.65229028,0,0
0.65308492,0,0
0.65484646,0,0
0.65579554,0,0
0.65749028,0,0
0.65905478,0,0
0.66005558,0,0
0.66167356,0,0
0.66266594,0,0
0.66429436,0,0
0.66531738,0,0
0.66683394,0,0
0.66789332,0,0
0.66963046,0,0
0.67062022,0,0
0.67237284,0,0
0.6733577,0,0
0.67492164,0,0
0.67596808,0,0
0.67770228,0,0
0.6786838,0,0
0.68037716,0,0
0.68136988,0,0
0.68284436,0,0
0.6838343,0,0
0.68561834,0,0
0.68664384,0,0
0.68834554,0,0
0.68940284,0,0
0.69088978,0,0
0.69184764,0,0
0.69357522,0,0
0.69457938,0,0
0.69608232,0,0
0.69703366,0,0
0.69881038,0,0
0.69985788,0,0
0.70153568,0,0
0.70251078,0,0
0.70405826,0,0
0.70505732,0,0
0.706777,0,0
0.70772272,0,0
0.70940728,0,0
0.71037194,0,0
0.7119927,0,0
0.71368628,0,0
0.71472682,0,0
0.71636372,0,0
0.71735388,0,0
0.71837366,0,0
0.71940128,0,0
0.720457,0,0
0.72152288,0,0
0.72256254,0,0
0.7236201,0,0
0.72467958,0,0
0.7256999,0,0
0.72675458,0,0
0.72777922,0,0
0.7288377,0,0
0.72986584,0,0
0.73088748,0,0
0.731949,0,0
0.73296814,0,0
0.7340024,0,0
0.73506312,0,0
0.73643556,0,0
0.73749882,0,0
0.73853432,0,0
0.73958836,0,0
0.74062714,0,0
0.74167658,0,0
0.74271882,0,0
0.743733,0,0
0.74481928,0,0
0.74583682,0,0
0.74746496,0,0
0.74852982,0,0
0.74958458,0,0
0.75061176,0,0
0.75166232,0,0
0.7527037,0,0
0.75371304,0,0
0.75479442,0,0
0.75581134,0,0
0.75686072,0,0
0.75790106,0,0
0.75892202,0,0
0.7599754,0,0
0.76100018,0,0
0.76205502,0,0
0.7632335,0,0
0.76427944,0,0
0.76534956,0,0
0.76638464,0,0
0.76746276,0,0
0.76855168,0,0
0.76957252,0,0
0.77062608,0,0
0.7716565,0,0
0.77270208,0,0
0.77373832,0,0
0.77483482,0,0
0.77587644,0,0
0.77689856,0,0
0.77793704,0,0
0.77895984,0,0
0.7800197,0,0
0.7810531,0,0
0.7820835,0,0
0.78327958,0,0
0.78455032,0,0
0.7856603,0,0
0.78680176,0,0
0.7878702,0,0
0.78891678,0,0
0.78994072,0,0
0.79100546,0,0
0.79203086,0,0
0.7930796,0,0
0.79428978,0,0
0.79532002,0,0
0.79639058,0,0
0.79743844,0,0
0.79850162,0,0
0.79953268,0,0
0.80058646,0,0
0.80162866,0,0
0.80265638,0,0
0.8037067,0,0
0.80477232,0,0
0.80581154,0,0
0.80685876,0,0
0.80788312,0,0
0.80892368,0,0
0.80995804,0,0
0.81147546,0,0
0.81253014,0,0
0.81358344,0,0
0.81466194,0,0
0.81568246,0,0
0.81673892,0,0
0.817779,0,0
0.81883382,0,0
0.81986278,0,0
0.82087242,0,0
0.82193216,0,0
0.82295418,0,0
0.82400612,0,0
0.82506318,0,0
0.82608264,0,0
0.82728418,0,0
0.8283363,0,0
0.82939874,0,0
0.83045192,0,0
0.83152332,0,0
0.83257402,0,0
0.83360878,0,0
0.8347068,0,0
0.83573942,0,0
0.83679344,0,0
0.83783014,0,0
0.83885652,0,0
0.83991088,0,0
0.84094752,0,0
0.8420023,0,0
0.84303756,0,0
0.84405112,0,0
0.84527632,0,0
0.84660554,0,0
0.84772104,0,0
0.84875892,0,0
0.8498149,0,0
0.85085428,0,0
0.85187364,0,0
0.8529352,0,0
0.85395368,0,0
0.85503432,0,0
0.85606662,0,0
0.85725654,0,0
0.85828354,0,0
0.85931058,0,0
0.86037248,0,0
0.86141628,0,0
0.86250052,0,0
0.86354112,0,0
0.86460972,0,0
0.86566486,0,0
0.86668958,0,0
0.86774528,0,0
0.86877582,0,0
0.86979856,0,0
0.8708453,0,0
0.87186932,0,0
0.87292224,0,0
0.87395314,0,0
0.87500892,0,0
0.8760685,0,0
0.87708374,0,0
0.87827886,0,0
0.87932432,0,0
0.88038038,0,0
0.88145734,0,0
0.88251778,0,0
0.88357786,0,0
0.88477172,0,0
0.8858339,0,0
0.88686994,0,0
0.88788848,0,0
0.88895762,0,0
0.88998294,0,0
0.89101414,0,0
0.89204252,0,0
0.89305964,0,0
0.8942874,0,0
0.89532022,0,0
0.89639248,0,0
0.89745298,0,0
0.898528,0,0
0.89957494,0,0
0.9005994,0,0
0.9016514,0,0
0.90267982,0,0
0.9037399,0,0
0.90481284,0,0
0.90582868,0,0
0.9068745,0,0
0.90789028,0,0
0.90893784,0,0
0.90998114,0,0
0.91149812,0,0
0.91255108,0,0
0.91358342,0,0
0.9146805,0,0
0.9157165,0,0
0.91676844,0,0
0.9178118,0,0
0.91885418,0,0
0.91990778,0,0
0.92092922,0,0
0.9219785,0,0
0.9230035,0,0
0.92404068,0,0
0.92524748,0,0
0.92627966,0,0
0.92735124,0,0
0.9283988,0,0
0.92947758,0,0
0.93051818,0,0
0.93153872,0,0
0.93259664,0,0
0.93362546,0,0
0.93470164,0,0
0.93574434,0,0
0.93676214,0,0
0.93782074,0,0
0.93884584,0,0
0.9398895,0,0
0.94092138,0,0
0.94195096,0,0
0.94300012,0,0
0.94402068,0,0
0.94526266,0,0
0.94660422,0,0
0.9477158,0,0
0.94879732,0,0
0.94985258,0,0
0.95088322,0,0
0.95191066,0,0
0.95296696,0,0
0.95399086,0,0
0.95507222,0,0
0.95623834,0,0
0.95725174,0,0
0.95829488,0,0
0.959318,0,0
0.96037692,0,0
0.96142506,0,0
0.96247418,0,0
0.96353908,0,0
0.96461062,0,0
0.96566828,0,0
0.96669142,0,0
0.96771482,0,0
0.9688,0,0
0.96981394,0,0
0.97085588,0,0
0.9718913,0,0
0.97293616,0,0
0.97396764,0,0
0.97502312,0,0
0.9769838,0,0
0.97793562,0,0
0.9796591,0,0
0.98062634,0,0
0.98228136,0,0
0.9830547,0,0
0.98479104,0,0
0.98573362,0,0
0.98740172,0,0
0.98834344,0,0
0.98989716,0,0
0.99082976,0,0
0.99254628,0,0
0.99354624,0,0
0.99533526,0,0
0.99683894,0,0
0.99782042,0,0
0.99874704,0,0
1.000418,0,0
1.00136128,0,0
1.00292026,0,0
1.0038551,0,0
1.00552088,0,0
1.00648804,0,0
1.0080342,0,0
1.0089705,0,0
1.0106662,0,0
1.0115967,0,0
1.01308544,0,0
1.01402462,0,0
1.01577988,0,0
1.01679282,0,0
1.01849306,0,0
1.01946426,0,0
1.0210148,0,0
1.0219576,0,0
1.0230092,0,0
1.0240173,0,0
1.02508704,0,0
1.02624734,0,0
1.02727916,0,0
1.02830328,0,0
1.02929376,0,0
1.03033278,0,0
1.03135422,0,0
1.0332488,0,0
1.03408698,0,0
1.03575042,0,0
1.03671642,0,0
1.03839018,0,0
1.03935918,0,0
1.04086064,0,0
1.04185174,0,0
1.0434516,0,0
1.04449528,0,0
1.0460609,0,0
1.047536,0,0
1.04900516,0,0
1.04997604,0,0
1.05169428,0,0
1.05273214,0,0
1.05445884,0,0
1.05543516,0,0
1.05700612,0,0
1.05797306,0,0
1.05966318,0,0
1.06063206,0,0
1.06228554,0,0
1.06325502,0,0
1.06487828,0,0
1.06584408,0,0
1.0675468,0,0
1.06856284,0,0
1.07005792,0,0
1.0710196,0,0
1.07281728,0,0
1.07452696,0,0
1.07553786,0,0
1.07708668,0,0
1.07807046,0,0
1.07901958,0,0
1.08074768,0,0
1.08247082,0,0
1.08349068,0,0
1.08526834,0,0
1.0862666,0,0
1.08779028,0,0
1.0887715,0,0
1.09053134,0,0
1.09155082,0,0
1.09306556,0,0
1.09433608,0,0
1.0958505,0,0
1.09681458,0,0
1.09853588,0,0
1.09952088,0,0
1.10102502,0,0
1.10200692,0,0
1.10379698,0,0
1.10488546,0,0
1.10655278,0,0
1.1075218,0,0
1.10906892,0,0
1.11002516,0,0
1.11175578,0,0
1.11270772,0,0
1.11441906,0,0
1.11598836,0,0
1.11701866,0,0
1.11874998,0,0
1.11975794,0,0
1.12135504,0,0
1.1224326,0,0
1.12351684,0,0
1.12459504,0,0
1.12562716,0,0
1.12667956,0,0
1.12770168,0,0
1.12875288,0,0
1.12978816,0,0
1.13081092,0,0
1.13186952,0,0
1.13289,0,0
1.1339292,0,0
1.1350071,0,0
1.1360213,0,0
1.13707588,0,0
1.1382467,0,0
1.1392973,0,0
1.14033928,0,0
1.14138974,0,0
1.1424497,0,0
1.14349122,0,0
1.14458756,0,0
1.14563152,0,0
1.14698782,0,0
1.14804194,0,0
1.1490871,0,0
1.1502655,0,0
1.15132988,0,0
1.15241404,0,0
1.15346704,0,0
1.1545683,0,0
1.15561236,0,0
1.15666248,0,0
1.15768984,0,0
1.15871668,0,0
1.1597738,0,0
1.16080342,0,0
1.16184488,0,0
1.1628759,0,0
1.16389392,0,0
1.16498508,0,0
1.16601102,0,0
1.16704346,0,0
1.1680808,0,0
1.16924444,0,0
1.17031904,0,0
1.17135542,0,0
1.17242692,0,0
1.17348302,0,0
1.17455166,0,0
1.17560374,0,0
1.17663372,0,0
1.1776954,0,0
1.17872448,0,0
1.17974134,0,0
1.18078948,0,0
1.18181104,0,0
1.18286696,0,0
1.18389224,0,0
1.18497074,0,0
1.18601076,0,0
1.18746624,0,0
1.18863718,0,0
1.18968344,0,0
1.19074402,0,0
1.19177306,0,0
1.19283802,0,0
1.19388228,0,0
1.19493904,0,0
1.19599628,0,0
1.19702158,0,0
1.19806554,0,0
1.19924888,0,0
1.20026166,0,0
1.20131678,0,0
1.2023405,0,0
1.20341012,0,0
1.20450924,0,0
1.20556528,0,0
1.20660052,0,0
1.20761508,0,0
1.20867074,0,0
1.2096926,0,0
1.21099554,0,0
1.21203824,0,0
1.21306394,0,0
1.21428754,0,0
1.21531114,0,0
1.216377,0,0
1.21743516,0,0
1.2185548,0,0
1.21959272,0,0
1.22062476,0,0
1.22168092,0,0
1.22271042,0,0
1.22376846,0,0
1.22481982,0,0
1.22584674,0,0
1.22690682,0,0
1.22794318,0,0
1.22898898,0,0
1.23000346,0,0
1.23101992,0,0
1.23208362,0,0
1.23325652,0,0
1.23434426,0,0
1.23540864,0,0
1.2364776,0,0
1.23753504,0,0
1.23855698,0,0
1.23960534,0,0
1.24063208,0,0
1.24168302,0,0
1.24271346,0,0
1.24373932,0,0
1.24482898,0,0
1.2458578,0,0
1.2474151,0,0
1.2484801,0,0
1.24954544,0,0
1.25059042,0,0
1.25162284,0,0
1.25272962,0,0
1.25375986,0,0
1.2548397,0,0
1.25588642,0,0
1.25689884,0,0
1.25795522,0,0
1.25898142,0,0
1.2600229,0,0
1.26106982,0,0
1.26226678,0,0
1.26330564,0,0
1.26436886,0,0
1.26546668,0,0
1.26651554,0,0
1.26757874,0,0
1.26862544,0,0
1.269656,0,0
1.27071028,0,0
1.27174398,0,0
1.27278732,0,0
1.27380154,0,0
1.27485172,0,0
1.27591816,0,0
1.27694126,0,0
1.27798694,0,0
1.2789997,0,0
1.28002022,0,0
1.28107528,0,0
1.28224414,0,0
1.2833106,0,0
1.28438486,0,0
1.28546062,0,0
1.28662488,0,0
1.28767178,0,0
1.28873456,0,0
1.28976354,0,0
1.29083166,0,0
1.29186582,0,0
1.2928737,0,0
1.29393396,0,0
1.29498592,0,0
1.29602858,0,0
1.29704888,0,0
1.29806688,0,0
1.299265,0,0
1.30027576,0,0
1.30132978,0,0
1.3023643,0,0
1.30342342,0,0
1.3045216,0,0
1.305553,0,0
1.30661374,0,0
1.30764472,0,0
1.30870468,0,0
1.30973544,0,0
1.3110575,0,0
1.31225046,0,0
1.31327966,0,0
1.3143756,0,0
1.31542426,0,0
1.316505,0,0
1.31753868,0,0
1.31859628,0,0
1.31965828,0,0
1.32067962,0,0
1.32173376,0,0
1.32278008,0,0
1.32380424,0,0
1.32490088,0,0
1.32592606,0,0
1.3269706,0,0
1.3280013,0,0
1.3290453,0,0
1.33007212,0,0
1.33124638,0,0
1.33231906,0,0
1.33334538,0,0
1.33442102,0,0
1.33547592,0,0
1.3365075,0,0
1.33753458,0,0
1.33856064,0,0
1.33959428,0,0
1.34061564,0,0
1.34162236,0,0
1.34264478,0,0
1.34365256,0,0
1.34471136,0,0
1.34572456,0,0
1.34707162,0,0
1.34824932,0,0
1.34925604,0,0
1.3502985,0,0
1.3513195,0,0
1.35235992,0,0
1.35344136,0,0
1.35452122,0,0
1.3555639,0,0
1.35658882,0,0
1.35762936,0,0
1.3586521,0,0
1.3596635,0,0
1.36067494,0,0
1.36169046,0,0
1.36272736,0,0
1.36374404,0,0
1.36478492,0,0
1.3658154,0,0
1.36681548,0,0
1.36784656,0,0
1.36888724,0,0
1.36989224,0,0
1.3709224,0,0
1.37193218,0,0
1.37295524,0,0
1.37396526,0,0
1.37499458,0,0
1.37601208,0,0
1.3770165,0,0
1.37805338,0,0
1.37905494,0,0
1.38005488,0,0
1.38123826,0,0
1.38224162,0,0
1.38326386,0,0
1.38430234,0,0
1.38531914,0,0
1.38648546,0,0
1.38753028,0,0
1.38856688,0,0
1.38958808,0,0
1.39059204,0,0
1.39164338,0,0
1.39264402,0,0
1.39367314,0,0
1.39471542,0,0
1.3957236,0,0
1.3967621,0,0
1.39776582,0,0
1.39879754,0,0
1.39981124,0,0
1.4008157,0,0
1.40185058,0,0
1.40285328,0,0
1.4038696,0,0
1.40491592,0,0
1.40592082,0,0
1.40767938,0,0
1.40862986,0,0
1.41027634,0,0
1.4110739,0,0
1.41277102,0,0
1.41370962,0,0
1.41537052,0,0
1.4163104,0,0
1.41786908,0,0
1.41882692,0,0
1.42056328,0,0
1.4215453,0,0
1.42323268,0,0
1.42403882,0,0
1.42576652,0,0
1.42670014,0,0
1.4283505,0,0
1.42928668,0,0
1.43084104,0,0
1.4317814,0,0
1.43348268,0,0
1.43456662,0,0
1.4360772,0,0
1.43701232,0,0
1.43871594,0,0
1.43965176,0,0
1.44129162,0,0
1.44222782,0,0
1.44377282,0,0
1.44473294,0,0
1.4467449,0,0
1.4484168,0,0
1.44940092,0,0
1.45091016,0,0
1.45190818,0,0
1.45359578,0,0
1.4546249,0,0
1.45637116,0,0
1.45734128,0,0
1.45884222,0,0
1.45979028,0,0
1.46161044,0,0
1.46259922,0,0
1.46431964,0,0
1.46532006,0,0
1.46681272,0,0
1.4677925,0,0
1.4695231,0,0
1.47052276,0,0
1.47203828,0,0
1.47303446,0,0
1.47479154,0,0
1.47584154,0,0
1.47756474,0,0
1.47854836,0,0
1.480275,0,0
1.48123562,0,0
1.48284028,0,0
1.48379688,0,0
1.4855148,0,0
1.48652468,0,0
1.48801856,0,0
1.48897916,0,0
1.49073922,0,0
