Sample,X(ms) [24.05.2017 18:30:12 365 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
600,736.441220,1631,0,0
601,738.246060,1631,0,0
602,739.248560,1631,0,0
603,740.798500,1631,0,0
604,741.862220,1631,0,0
605,743.633540,1631,0,0
606,744.634180,1631,0,0
607,746.319120,1631,0,0
608,747.468940,1631,0,0
609,749.273000,1631,0,0
610,750.812200,1631,0,0
611,751.830200,1631,0,0
612,753.549800,1631,0,0
613,754.585460,1631,0,0
614,756.289540,1631,0,0
615,757.262420,1631,0,0
616,758.800380,1631,0,0
617,759.800940,1631,0,0
618,761.580220,1631,0,0
619,762.950100,1631,0,0
620,764.762040,1631,0,0
621,766.505240,1631,0,0
622,767.539260,1631,0,0
623,769.287740,1631,0,0
624,770.285260,1631,0,0
625,771.846580,1631,0,0
626,772.890220,1631,0,0
627,774.681820,1631,0,0
628,775.751520,1631,0,0
629,777.480120,1631,0,0
630,778.502800,1631,0,0
631,780.023960,1631,0,0
632,780.994160,1631,0,0
633,782.766540,1631,0,0
634,783.756940,1631,0,0
635,785.617820,1631,0,0
636,787.294860,1631,0,0
637,788.293800,1631,0,0
638,789.820800,1631,0,0
639,790.851000,1631,0,0
640,792.482200,1631,0,0
641,793.519620,1631,0,0
642,795.325660,1631,0,0
643,796.409600,1631,0,0
644,797.952020,1631,0,0
645,798.956820,1631,0,0
646,800.697160,1631,0,0
647,801.777720,1631,0,0
648,803.546360,1631,0,0
649,804.546460,1631,0,0
650,806.061660,1631,0,0
651,807.036660,1631,0,0
652,808.758020,1631,0,0
653,809.724340,1631,0,0
654,811.409540,1631,0,0
655,812.443180,1631,0,0
656,814.063820,1631,0,0
657,815.810040,1631,0,0
658,816.816220,1631,0,0
659,818.445500,1631,0,0
660,819.495020,1631,0,0
661,821.247060,1631,0,0
662,822.274680,1631,0,0
663,823.829600,1631,0,0
664,824.829840,1631,0,0
665,826.552760,1631,0,0
666,827.567240,1631,0,0
667,829.304520,1631,0,0
668,830.373520,1631,0,0
669,831.915180,1631,0,0
670,832.935540,1631,0,0
671,834.668740,1631,0,0
672,835.660480,1631,0,0
673,836.796220,1631,0,0
674,837.840640,1631,0,0
675,838.896920,1631,0,0
676,839.948340,1631,0,0
677,840.993360,1631,0,0
678,842.066420,1631,0,0
