time [s],angle [rad],voltage [V]
0.71156764,0,0
0.7126909,0,0
0.71444498,0,0
0.71544102,0,0
0.7169719,0,0
0.71795798,0,0
0.71972004,0,0
0.7207761,0,0
0.72253924,0,0
0.7242202,0,0
0.7252351,0,0
0.72675316,0,0
0.7277778,0,0
0.72940842,0,0
0.7304538,0,0
0.73224918,0,0
0.73332238,0,0
0.7348782,0,0
0.73587162,0,0
0.73757858,0,0
0.73858024,0,0
0.7403317,0,0
0.7413567,0,0
0.74286672,0,0
0.74385016,0,0
0.74559584,0,0
0.7465812,0,0
0.74821934,0,0
0.74923042,0,0
0.75079618,0,0
0.75177568,0,0
0.75356346,0,0
0.75529076,0,0
0.75632708,0,0
0.75790314,0,0
0.7589164,0,0
0.76062306,0,0
0.76162584,0,0
0.76343734,0,0
0.7645425,0,0
0.76620134,0,0
0.76720352,0,0
0.76870742,0,0
0.76974354,0,0
0.7714683,0,0
0.77247078,0,0
0.77402106,0,0
0.77527074,0,0
0.77686442,0,0
0.77784404,0,0
0.7795389,0,0
0.7805197,0,0
0.78219054,0,0
0.78299258,0,0
0.78478006,0,0
0.78652082,0,0
0.78753326,0,0
0.78928568,0,0
0.79027696,0,0
0.79179658,0,0
0.79279764,0,0
0.79453662,0,0
0.79561022,0,0
0.79734554,0,0
0.79835266,0,0
0.79987056,0,0
0.80087114,0,0
0.80257446,0,0
0.80356304,0,0
0.80527356,0,0
0.80626446,0,0
0.80781924,0,0
0.8087881,0,0
0.81080366,0,0
0.81246482,0,0
0.81356356,0,0
0.81534376,0,0
0.81636112,0,0
0.81782622,0,0
0.8188807,0,0
0.8199351,0,0
0.82097158,0,0
0.8220113,0,0
0.82321204,0,0
0.82423552,0,0
0.8253092,0,0
0.82637568,0,0
0.82746974,0,0
0.82851484,0,0
0.8295896,0,0
0.83065434,0,0
0.831738,0,0
0.83279814,0,0
0.8338439,0,0
0.83537258,0,0
0.83645474,0,0
0.83750622,0,0
0.83857926,0,0
0.83964538,0,0
0.8407187,0,0
0.84175176,0,0
0.84285848,0,0
0.8439016,0,0
0.84493446,0,0
0.84598782,0,0
0.8470291,0,0
0.84826938,0,0
0.84935182,0,0
0.8504387,0,0
0.85149734,0,0
0.8525389,0,0
0.85360308,0,0
0.8546451,0,0
0.85571402,0,0
0.8567424,0,0
0.8577886,0,0
0.8588393,0,0
0.86031792,0,0
0.86152414,0,0
0.86258878,0,0
0.86363716,0,0
0.86468718,0,0
0.8657191,0,0
0.86678546,0,0
0.86782252,0,0
0.8688786,0,0
0.8699517,0,0
0.87100266,0,0
0.87203684,0,0
0.87320406,0,0
0.87426494,0,0
0.87531514,0,0
0.87638052,0,0
0.87744952,0,0
0.87849138,0,0
0.87959538,0,0
0.88062464,0,0
0.88170834,0,0
0.8827542,0,0
0.88380956,0,0
0.88485722,0,0
0.88589294,0,0
0.88696746,0,0
0.88799218,0,0
0.8892162,0,0
0.8902725,0,0
0.89131184,0,0
0.89241412,0,0
0.89347778,0,0
0.89454264,0,0
0.8955904,0,0
0.89662382,0,0
0.89769326,0,0
0.89873234,0,0
0.89982042,0,0
0.90086582,0,0
0.90192878,0,0
0.90295664,0,0
0.90398934,0,0
0.90520186,0,0
0.90624476,0,0
0.90733356,0,0
0.90842594,0,0
0.90986656,0,0
0.91092942,0,0
0.91195594,0,0
0.91301214,0,0
0.91420446,0,0
0.91527898,0,0
0.91633394,0,0
0.9174306,0,0
0.91849118,0,0
0.9195647,0,0
0.92063738,0,0
0.92168252,0,0
0.9227407,0,0
0.92377082,0,0
0.92480032,0,0
0.92585818,0,0
0.92689014,0,0
0.92795104,0,0
0.92898956,0,0
0.93022862,0,0
0.93128622,0,0
0.93233716,0,0
0.93342282,0,0
0.93474836,0,0
0.93583598,0,0
0.93687216,0,0
0.93794862,0,0
0.93899006,0,0
0.94003854,0,0
0.94126048,0,0
0.9422986,0,0
0.94343892,0,0
0.9444947,0,0
0.9455695,0,0
0.9466149,0,0
0.9476584,0,0
0.94870688,0,0
0.94978164,0,0
0.95085376,0,0
0.9519119,0,0
0.95293292,0,0
0.95398516,0,0
0.95501278,0,0
0.9562098,0,0
0.9572625,0,0
0.95830162,0,0
0.95953852,0,0
