exp4_time,exp4_angle,exp4_voltage
0,0,0
0.00165658,0,0
0.00262812,0,0
0.00424728,0,0
0.00506226,0,0
0.00598662,0,0
0.00766992,0,0
0.00860588,0,0
0.01040874,0,0
0.01193234,0,0
0.01290492,0,0
0.01384268,0,0
0.01551544,0,0
0.01647618,0,0
0.018009,0,0
0.0189349,0,0
0.02068172,0,0
0.02163086,0,0
0.02328298,0,0
0.02405792,0,0
0.02572206,0,0
0.02665506,0,0
0.028294,0,0
0.02922316,0,0
0.03079372,0,0
0.03174662,0,0
0.03342486,0,0
0.03437082,0,0
0.03582358,0,0
0.03679194,0,0
0.03851036,0,0
0.0394944,0,0
0.04099812,0,0
0.04198596,0,0
0.043706,0,0
0.04473076,0,0
0.04643688,0,0
0.04740648,0,0
0.04885762,0,0
0.04980254,0,0
0.05153294,0,0
0.05250286,0,0
0.05398022,0,0
0.05495206,0,0
0.05663216,0,0
0.057587,0,0
0.0592444,0,0
0.06004542,0,0
0.06168426,0,0
0.06262662,0,0
0.0642423,0,0
0.06501858,0,0
0.06661742,0,0
0.06756224,0,0
0.06905954,0,0
0.0699646,0,0
0.07090452,0,0
0.0725326,0,0
0.07347348,0,0
0.07495456,0,0
0.07587816,0,0
0.07785464,0,0
0.0788142,0,0
0.08051666,0,0
0.08202446,0,0
0.08295694,0,0
0.08386454,0,0
0.08555854,0,0
0.08651754,0,0
0.0879919,0,0
0.08893398,0,0
0.09069424,0,0
0.09163226,0,0
0.0932185,0,0
0.0940012,0,0
0.09562036,0,0
0.09655062,0,0
0.09796982,0,0
0.09888182,0,0
0.10053262,0,0
0.1014804,0,0
0.10297692,0,0
0.1038876,0,0
0.1054445,0,0
0.1064256,0,0
0.1079396,0,0
0.1089141,0,0
0.10982374,0,0
0.11151802,0,0
0.11248514,0,0
0.11397718,0,0
0.11490042,0,0
0.11652642,0,0
0.11745898,0,0
0.11888952,0,0
0.11981162,0,0
0.1215301,0,0
0.12250048,0,0
0.12394596,0,0
0.12490054,0,0
0.12658052,0,0
0.1275358,0,0
0.12921828,0,0
0.13002158,0,0
0.13165126,0,0
0.13258786,0,0
0.13420504,0,0
0.1349858,0,0
0.13653656,0,0
0.13750358,0,0
0.13902774,0,0
0.1400144,0,0
0.14097302,0,0
0.14265864,0,0
0.14359054,0,0
0.14527724,0,0
0.1460488,0,0
0.14772742,0,0
0.14864878,0,0
0.15027288,0,0
0.15105548,0,0
0.15265988,0,0
0.1535886,0,0
0.15501466,0,0
0.15593046,0,0
0.15757628,0,0
0.15853948,0,0
0.16003892,0,0
0.16098908,0,0
0.16258134,0,0
0.16352384,0,0
0.16501704,0,0
0.16594674,0,0
0.16686228,0,0
0.1684778,0,0
0.16941648,0,0
0.1709218,0,0
0.17185582,0,0
0.17348798,0,0
0.17444196,0,0
0.17586448,0,0
0.17678254,0,0
0.17869698,0,0
0.17963564,0,0
0.1812791,0,0
0.18220396,0,0
0.18368088,0,0
0.18460192,0,0
0.1861953,0,0
0.18697558,0,0
0.18857622,0,0
0.18951326,0,0
0.19105086,0,0
0.19196494,0,0
0.19354176,0,0
0.19453198,0,0
0.19602496,0,0
0.19694344,0,0
0.19787772,0,0
0.19950184,0,0
0.20048442,0,0
0.2019001,0,0
0.20282576,0,0
0.20446104,0,0
0.20539038,0,0
0.20682364,0,0
0.20776322,0,0
0.20939468,0,0
0.21040228,0,0
0.21185066,0,0
0.21277232,0,0
0.21434958,0,0
0.21528238,0,0
0.21604498,0,0
0.21765682,0,0
0.21858206,0,0
0.22004552,0,0
0.22100702,0,0
0.22269316,0,0
0.22362802,0,0
0.2252526,0,0
0.22605262,0,0
0.22771292,0,0
0.22864362,0,0
0.23033664,0,0
0.23129482,0,0
0.23276882,0,0
0.23371808,0,0
0.23540906,0,0
0.23638528,0,0
0.237868,0,0
0.23884922,0,0
0.24058416,0,0
0.2415449,0,0
0.24324292,0,0
0.24404734,0,0
0.24572276,0,0
0.24669394,0,0
0.24839698,0,0
0.24934854,0,0
0.25081766,0,0
0.2517458,0,0
0.2533558,0,0
0.2542837,0,0
0.25505606,0,0
0.25666016,0,0
0.25758132,0,0
0.25900296,0,0
0.25992504,0,0
0.26165092,0,0
0.26258996,0,0
0.26420422,0,0
0.26499728,0,0
0.2666235,0,0
0.26755922,0,0
0.26904724,0,0
0.26994112,0,0
0.27156422,0,0
0.2725154,0,0
0.27401812,0,0
0.27494636,0,0
0.27649622,0,0
0.27782402,0,0
0.27949092,0,0
0.28048518,0,0
0.28192158,0,0
0.28284916,0,0
0.28447956,0,0
0.28543906,0,0
0.28690676,0,0
0.28782398,0,0
0.28871954,0,0
0.29031974,0,0
0.29122192,0,0
0.29277634,0,0
0.29369898,0,0
0.29534054,0,0
0.2962476,0,0
0.29771318,0,0
0.29863636,0,0
0.30026538,0,0
0.3010455,0,0
0.30264118,0,0
0.30356474,0,0
0.30522244,0,0
0.30602466,0,0
0.3075811,0,0
0.30853728,0,0
0.31003572,0,0
0.31099468,0,0
0.31191946,0,0
0.31355306,0,0
0.31450008,0,0
0.3159364,0,0
0.31684332,0,0
0.31846794,0,0
0.31939772,0,0
0.32084696,0,0
0.32177818,0,0
0.3234232,0,0
0.32434954,0,0
0.32591098,0,0
0.32686634,0,0
0.32848568,0,0
0.32946318,0,0
0.3310209,0,0
0.33198788,0,0
0.33359026,0,0
0.33456808,0,0
0.33624978,0,0
0.33705132,0,0
0.33797566,0,0
0.3396781,0,0
0.34131974,0,0
0.34227364,0,0
0.34303938,0,0
0.34471868,0,0
0.34565236,0,0
0.34728876,0,0
0.34805638,0,0
0.34966854,0,0
0.35064266,0,0
0.35225734,0,0
0.3530549,0,0
0.35462098,0,0
0.3555611,0,0
0.35720674,0,0
0.35800468,0,0
0.35960362,0,0
0.36061832,0,0
0.36227532,0,0
0.36322054,0,0
0.3646503,0,0
0.36561528,0,0
0.36720496,0,0
