exp1_time,exp1_angle,exp1_voltage
3.33267422,0,0
3.33369796,0,0
3.33474596,0,0
3.33576638,0,0
3.33681904,0,0
3.33803732,0,0
3.33942276,0,11.95
3.3404655,0,11.95
3.34149078,0,11.95
3.34254856,0,11.95
3.34356488,0,11.95
3.34461138,0,11.95
3.34563812,0.020943951023932,11.95
3.346661,0.020943951023932,11.95
3.3477601,0.020943951023932,11.95
3.34877742,0.020943951023932,11.95
3.34998962,0.0418879020478639,11.95
3.35102034,0.0418879020478639,11.95
3.35207788,0.0628318530717959,11.95
3.3531133,0.0628318530717959,11.95
3.354147,0.0837758040957278,11.95
3.35522762,0.0837758040957278,11.95
3.35627256,0.10471975511966,11.95
3.35735752,0.10471975511966,11.95
3.35839148,0.125663706143592,11.95
3.35942874,0.146607657167524,11.95
3.36049136,0.146607657167524,11.95
3.36177518,0.167551608191456,11.95
3.3629974,0.188495559215388,11.95
3.364024,0.20943951023932,11.95
3.36509168,0.230383461263251,11.95
3.36614482,0.251327412287183,11.95
3.36723678,0.251327412287183,11.95
3.36831106,0.272271363311115,11.95
3.369344,0.293215314335047,11.95
3.37038962,0.314159265358979,11.95
3.37141164,0.335103216382911,11.95
3.37243548,0.356047167406843,11.95
3.37348614,0.376991118430775,11.95
3.37451382,0.418879020478639,11.95
3.37556168,0.439822971502571,11.95
3.3765977,0.460766922526503,11.95
3.37770538,0.481710873550435,11.95
3.37873408,0.502654824574367,11.95
3.3797603,0.523598775598299,11.95
3.38081106,0.565486677646163,11.95
3.3820835,0.586430628670095,11.95
3.3831867,0.607374579694027,11.95
3.38430774,0.649262481741891,11.95
3.38533338,0.670206432765822,11.95
3.38639836,0.712094334813686,11.95
3.38744988,0.733038285837618,11.95
3.38851316,0.774926187885482,11.95
3.38955046,0.795870138909414,11.95
3.39059538,0.837758040957278,11.95
3.39161274,0.85870199198121,11.95
3.39264722,0.900589894029074,11.95
3.39369962,0.921533845053006,11.95
3.39472042,0.96342174710087,11.95
3.39575458,1.00530964914873,11.95
3.39677762,1.02625360017267,11.95
3.3979836,1.06814150222053,11.95
3.39903308,1.11002940426839,11.95
3.4000638,1.13097335529233,11.95
3.40111512,1.17286125734019,11.95
3.40216398,1.21474915938805,11.95
3.40321512,1.23569311041199,11.95
3.40427922,1.27758101245985,11.95
3.40530744,1.31946891450771,11.95
3.40634658,1.36135681655558,11.95
3.40741626,1.40324471860344,11.95
3.40843952,1.4451326206513,11.95
3.40949624,1.46607657167524,11.95
3.41051734,1.52890842474703,11.95
3.41155664,1.54985237577096,11.95
3.41258848,1.59174027781883,11.95
3.41360398,1.63362817986669,11.95
3.41465778,1.67551608191456,11.95
3.41568262,1.71740398396242,11.95
3.41674044,1.75929188601028,11.95
3.41779738,1.80117978805815,11.95
3.41899184,1.84306769010601,11.95
3.42002766,1.88495559215388,11.95
3.42105116,1.92684349420174,11.95
3.4221524,1.9687313962496,11.95
3.42319744,2.01061929829747,11.95
3.42428,2.07345115136926,11.95
3.4253196,2.11533905341713,11.95
3.42634538,2.15722695546499,11.95
3.42743024,2.19911485751286,11.95
3.42870408,2.24100275956072,11.95
3.42976936,2.30383461263251,11.95
3.43080254,2.34572251468038,11.95
3.43200342,2.38761041672824,11.95
